"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"85","Serrasalmus rhombeus","Characiformes","absent","",382210,"","Serrasalmus rhombeus"
"86","Sternopygus macrurus","Gymnotiformes","absent","",729097,"","Sternopygus macrurus"
"87","Strongylura anastomella","Beloniformes","absent","",703667,"","Strongylura anastomella"
"88","Stygichthys typhlops","Characiformes","absent","",2695,"incertae_sedis_inherited","Stygichthys typhlops"
"89","Marosatherina ladigesi","Atheriniformes","absent","",296889,"","Marosatherina ladigesi"
"90","Oreochromis niloticus","Cichliformes","absent","",288063,"sibling_higher","Oreochromis niloticus"
"91","Pseudaspius hakonensis","Cypriniformes","absent","",372585,"","Pseudaspius hakonensis"
"92","Triportheus nematurus","Characiformes","absent","",48234,"","Triportheus nematurus"
"93","Xenentodon cancila","Beloniformes","absent","y",549052,"","Xenentodon cancila"
"94","Astyanax mexicanus","Characiformes","absent","y",701518,"","Astyanax mexicanus"
"95","Biotoecus opercularis","Cichliformes","absent","",3636363,"","Biotoecus opercularis"
"96","Teleocichla proselytus","Cichliformes","absent","",493822,"","Teleocichla proselytus"
"97","Apistogramma borellii","Cichliformes","absent","",3636296,"","Apistogramma borellii"
"98","Taeniacara candidi","Cichliformes","absent","",128244,"","Taeniacara candidi"
"99","Mikrogeophagus ramirezi","Cichliformes","absent","",316392,"","Mikrogeophagus ramirezi"
"100","Gymnogeophagus balzanii","Cichliformes","absent","",416755,"","Gymnogeophagus balzanii"
"101","Gymnogeophagus meridionalis","Cichliformes","absent","",450053,"","Gymnogeophagus meridionalis"
"102","Crenicara punctulatum",NA,"absent","",461830,"","Crenicara punctulatum"
"103","Dicrossus warzeli","Cichliformes","absent","",3636430,"","Dicrossus warzeli"
"104","Hemichromis bimaculatus",NA,"absent","",312269,"","Hemichromis bimaculatus"
"105","Cottus carolinae","Perciformes/Cottoidei","absent","",466859,"","Cottus carolinae"
"106","Latimeria chalumnae","Coelacanthiformes","present","",773491,"","Latimeria chalumnae"
"107","Microschemobrycon callops","Characiformes","present","",3625570,"","Microschemobrycon callops"
"108","Cyprinus carpio","Cypriniformes","present","y",429083,"","Cyprinus carpio"
"109","Leuciscus idus","Cypriniformes","present","y",41137,"","Leuciscus idus"
"110","Mugil cephalus","Mugiliformes","present","y",418648,"","Mugil cephalus"
"111","Acipenser gueldenstaedtii","Acipenseriformes","present","y",378912,"","Acipenser gueldenstaedtii"
"112","Acipenser transmontanus","Acipenseriformes","present","y",378925,"","Acipenser transmontanus"
"113","Aethotaxis mitopteryx","Perciformes/Notothenioidei","present","",303038,"extinct_inherited, incertae_sedis","Aethotaxis mitopteryx"
"114","Anguilla anguilla","Anguilliformes","present","y",854201,"","Anguilla anguilla"
"115","Anguilla rostrata","Anguilliformes","present","y",854212,"","Anguilla rostrata"
"116","Anthias anthias","Perciformes/Serranoidei","present","y",1012253,"","Anthias anthias"
"117","Apteronotus albifrons","Gymnotiformes","present","",789557,"","Apteronotus albifrons"
"118","Badis badis","Anabantiformes","present","",989135,"","Badis badis"
"119","Lipolagus ochotensis","Argentiniformes","present","",562640,"","Lipolagus ochotensis"
"120","Chromobotia macracanthus","Cypriniformes","present","",225526,"","Chromobotia macracanthus"
"121","Bovichtus diacanthus","Perciformes/Notothenioidei","present","y",842177,"","Bovichtus diacanthus"
"122","Bovichtus variegatus","Perciformes/Notothenioidei","present","y",448844,"","Bovichtus variegatus"
"123","Carassius auratus","Cypriniformes","present","y",1005907,"","Carassius auratus"
"124","Carnegiella marthae","Characiformes","present","",94214,"","Carnegiella marthae"
"125","Ceratoscopelus warmingii","Myctophiformes","present","",866187,"","Ceratoscopelus warmingii"
"126","Chaetodon miliaris","Acanthuriformes","present","",766706,"","Chaetodon miliaris"
"127","Chaetodon multicinctus","Acanthuriformes","present","",766709,"","Chaetodon multicinctus"
"128","Chalceus guaporensis","Characiformes","present","",3624886,"","Chalceus guaporensis"
"129","Champsocephalus gunnari","Perciformes/Notothenioidei","present","y",684007,"","Champsocephalus gunnari"
"130","Gymnogobius urotaenia","Gobiiformes","present","",279775,"","Gymnogobius urotaenia"
"131","Colossoma macropomum","Characiformes","present","y",24678,"","Colossoma macropomum"
"132","Coreoperca kawamebari","Centrarchiformes","present","",105922,"","Coreoperca kawamebari"
"133","Ctenopharyngodon idella","Cypriniformes","present","",1005936,"","Ctenopharyngodon idella"
"134","Cyclothone atraria","Stomiiformes","present","",127379,"","Cyclothone atraria"
"135","Cyprinion macrostomum",NA,"present","",493927,"","Cyprinion macrostomum"
"136","Dasyatis akajei",NA,"present","",225332,"sibling_higher","Dasyatis akajei"
"137","Diplomystes mesembrinus",NA,"present","",536094,"","Diplomystes mesembrinus"
"138","Diplophos taenia","Stomiiformes","present","",350314,"","Diplophos taenia"
"139","Distichodus affinis","Characiformes","present","",912276,"","Distichodus affinis"
"140","Echeneis naucrates","Carangiformes","present","y",776562,"","Echeneis naucrates"
"141","Eigenmannia virescens","Gymnotiformes","present","",437387,"","Eigenmannia virescens"
"142","Eleginops maclovinus","Perciformes/Notothenioidei","present","y",816883,"","Eleginops maclovinus"
"143","Engraulis japonicus","Clupeiformes","present","y",690902,"","Engraulis japonicus"
"144","Etroplus maculatus",NA,"present","",493427,"","Etroplus maculatus"
"145","Etrumeus teres",NA,"present","",681340,"","Etrumeus teres"
"146","Eutropiichthys vacha","Siluriformes","present","",350498,"","Eutropiichthys vacha"
"147","Oreochromis",NA,"present","",336599,"","Oreochromis"
"148","Gasteropelecus sternicla","Characiformes","present","",514221,"","Gasteropelecus sternicla"
"149","Gastromyzon borneensis","Cypriniformes","present","",3627855,"","Gastromyzon borneensis"
"150","Geophagus sveni","Cichliformes","present","",3636351,"","Geophagus sveni"
"151","Glyptothorax pectinopterus","Siluriformes","present","",3621869,"","Glyptothorax pectinopterus"
"152","Gnathopogon caerulescens","Cypriniformes","present","",325187,"","Gnathopogon caerulescens"
"153","Gobionotothen gibberifrons","Perciformes/Notothenioidei","present","y",448828,"","Gobionotothen gibberifrons"
"154","Goeldiella eques","Siluriformes","present","",502078,"","Goeldiella eques"
"155","Sigmops gracilis","Stomiiformes","present","",648959,"","Sigmops gracilis"
"156","Gymnocephalus cernua","Perciformes/Percoidei","present","y",104323,"","Gymnocephalus cernua"
"157","Harpagifer georgianus","Perciformes/Notothenioidei","present","",350788,"","Harpagifer georgianus"
"158","Hemibarbus barbus",NA,"present","",655295,"","Hemibarbus barbus"
"159","Hoplias malabaricus","Characiformes","present","y",179348,"","Hoplias malabaricus"
"160","Hypostomus plecostomus","Siluriformes","present","",96090,"","Hypostomus plecostomus"
"161","Ictalurus punctatus","Siluriformes","present","y",701523,"","Ictalurus punctatus"
"162","Idiacanthus antrostomus","Stomiiformes","present","",890166,"","Idiacanthus antrostomus"
"163","Katsuwonus pelamis","Scombriformes","present","",308754,"","Katsuwonus pelamis"
"164","Konosirus punctatus","Clupeiformes","present","",39743,"","Konosirus punctatus"
"165","Kryptopterus bicirrhis","Siluriformes","present","",896070,"","Kryptopterus bicirrhis"
"166","Lepidonotothen larseni",NA,"present","y",969899,"","Lepidonotothen larseni"
"167","Lestrolepis intermedia","Aulopiformes","present","",1057256,"","Lestrolepis intermedia"
"168","Leucopsarion petersii","Gobiiformes","present","",331701,"","Leucopsarion petersii"
"169","Liza parsia",NA,"present","",728954,"","Liza parsia"
"170","Luciogobius guttatus","Gobiiformes","present","",868320,"","Luciogobius guttatus"
"171","Micropterus salmoides","Centrarchiformes","present","y",230493,"","Micropterus salmoides"
"172","Mylesinus paucisquamatus","Characiformes","present","",506578,"","Mylesinus paucisquamatus"
"173","Myleus torquatus",NA,"present","",3625318,"","Myleus torquatus"
"174","Notothenia angustata","Perciformes/Notothenioidei","present","",781788,"","Notothenia angustata"
"175","Odontobutis obscura",NA,"present","",599816,"","Odontobutis obscura"
"176","Ompok bimaculatus","Siluriformes","present","",670820,"","Ompok bimaculatus"
"177","Ophthalmolycus amberensis","Perciformes/Zoarcoidei","present","y",31294,"","Ophthalmolycus amberensis"
"178","Opsariichthys uncirostris","Cypriniformes","present","",26746,"","Opsariichthys uncirostris"
"179","Parachaenichthys charcoti","Perciformes/Notothenioidei","present","",185362,"","Parachaenichthys charcoti"
"180","Paracheirodon innesi","Characiformes","present","",783059,"","Paracheirodon innesi"
"181","Paranotothenia magellanica","Perciformes/Notothenioidei","present","",229704,"","Paranotothenia magellanica"
"182","Patagonotothen ramsayi","Perciformes/Notothenioidei","present","",525441,"","Patagonotothen ramsayi"
"183","Perca fluviatilis","Perciformes/Percoidei","present","y",186488,"","Perca fluviatilis"
"184","Percalates colonorum","Centrarchiformes","present","y",538644,"","Percalates colonorum"
"185","Periophthalmus nov",NA,"present","",7651176,"","Periophthalmus nov"
"186","Phenacogrammus interruptus","Characiformes","present","y",259776,"","Phenacogrammus interruptus"
"187","Plecoglossus altivelis","Osmeriformes","present","y",486933,"","Plecoglossus altivelis"
"188","Pseudaphritis urvillii","Perciformes/Notothenioidei","present","y",292713,"","Pseudaphritis urvillii"
"189","Pseudogobio esocinus","Cypriniformes","present","",424407,"","Pseudogobio esocinus"
"190","Pseudorasbora parva","Cypriniformes","present","y",205442,"","Pseudorasbora parva"
"191","Pungtungia herzi","Cypriniformes","present","",523420,"","Pungtungia herzi"
"192","Pygocentrus piraya","Characiformes","present","",900299,"","Pygocentrus piraya"
"193","Pygocentrus nattereri","Characiformes","present","y",649803,"","Pygocentrus nattereri"
"194","Racovitzia glacialis","Perciformes/Notothenioidei","present","",217712,"","Racovitzia glacialis"
"195","Rhinogobius brunneus","Gobiiformes","present","",238894,"","Rhinogobius brunneus"
"196","Rhinogobius flumineus","Gobiiformes","present","",518755,"","Rhinogobius flumineus"
"197","Salangichthys microdon","Osmeriformes","present","",348842,"","Salangichthys microdon"
"198","Salmo salar","Salmoniformes","present","y",688328,"","Salmo salar"
