"","X.2","X.1","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity"
"79",79,79,79,"Arapaima gigas","Osteoglossiformes","Osteoglossidae","Arapaima",0,"absent","y",335725,"","Arapaima_gigas",NA,18,"freshwater"
"80",80,80,80,"Belonesox belizanus","Cyprinodontiformes","Poeciliidae","Belonesox",0,"absent","",913297,"","Belonesox_belizanus",NA,67,"freshwater"
"81",81,81,81,"Betta splendens","Anabantiformes","Osphronemidae","Betta",0,"absent","y",1033356,"","Betta_splendens",NA,41,"freshwater"
"82",82,82,82,"Channa micropeltes","Anabantiformes","Channidae","Channa",0,"absent","",332862,"","Channa_micropeltes",NA,17,"freshwater"
"83",83,83,83,"Charax leticiae","Characiformes","Characidae","Charax",0,"absent","",1091396,"","Charax_leticiae",NA,37,"freshwater"
"84",84,84,84,"Cobitis biwae","Cypriniformes","Cobitidae","Cobitis",0,"absent","",638827,"","Cobitis_biwae",NA,60,"freshwater"
"85",85,85,85,"Cololabis saira","Beloniformes","Belonidae","Cololabis",0,"absent","y",427511,"","Cololabis_saira",NA,81,"saltwater"
"86",86,86,86,"Corydoras paleatus","Siluriformes","Callichthyidae","Corydoras",0,"absent","",267119,"","Corydoras_paleatus",NA,51,"freshwater"
"87",87,87,87,"Crenicara punctulatum","Cichliformes","Cichlidae","Crenicara",0,"absent","",461830,"","Crenicara_punctulatum",NA,NA,NA
"88",88,88,88,"Cheilopogon heterurus","Beloniformes","Exocoetidae","Cheilopogon",0,"absent","",850211,"","Cheilopogon_heterurus",NA,62,"saltwater"
"89",89,89,89,"Dermogenys pusilla","Beloniformes","Zenarchopteridae","Dermogenys",0,"absent","",139152,"","Dermogenys_pusilla",NA,24,"freshwater"
"90",90,90,90,"Dicentrarchus labrax","Perciformes","Moronidae","Dicentrarchus",3,"present","y",3549,"","Dicentrarchus_labrax",NA,79,"saltwater"
"91",91,91,91,"Dicrossus warzeli","Cichliformes","Cichlidae","Dicrossus",0,"absent","",3636430,"","Dicrossus_warzeli",NA,26,"freshwater"
"92",92,92,92,"Electrophorus electricus","Gymnotiformes","Gymnotidae","Electrophorus",0,"absent","y",216168,"","Electrophorus_electricus",NA,17,"freshwater"
"93",93,93,93,"Esox lucius","Esociformes","Esocidae","Esox",0,"absent","y",739941,"","Esox_lucius",NA,86,"freshwater"
"94",94,94,94,"Exodon paradoxus","Characiformes","Characidae","Exodon",0,"absent","",335632,"","Exodon_paradoxus",NA,22,"freshwater"
"95",95,95,95,"Glossolepis incisus","Atheriniformes","Melanotaeniidae","Glossolepis",0,"absent","",976546,"","Glossolepis_incisus",NA,NA,NA
"96",96,96,96,"Gymnogeophagus balzanii","Cichliformes","Cichlidae","Gymnogeophagus",0,"absent","",416755,"","Gymnogeophagus_balzanii",NA,45,"freshwater"
"97",97,97,97,"Gymnogeophagus meridionalis","Cichliformes","Cichlidae","Gymnogeophagus",0,"absent","",450053,"","Gymnogeophagus_meridionalis",NA,51,"freshwater"
"98",98,98,98,"Nimbochromis venustus","Cichliformes","Cichlidae","Nimbochromis",0,"absent","",888881,"","Nimbochromis_venustus",NA,33,"freshwater"
"99",99,99,99,"Helostoma temminkii","Anabantiformes","Helostomatidae","Helostoma",0,"absent","y",754856,"","Helostoma_temminkii",NA,NA,NA
"100",100,100,100,"Hemichromis bimaculatus","Cichliformes","Cichlidae","Hemichromis",0,"absent","",312269,"","Hemichromis_bimaculatus",NA,NA,NA
"101",101,101,101,"Hemichromis guttatus","Cichliformes","Cichlidae","Hemichromis",0,"absent","",839353,"","Hemichromis_guttatus",NA,NA,NA
"102",102,102,102,"Hepsetus odoe","Characiformes","Hepsetidae","Hepsetus",3,"present","y",128234,"","Hepsetus_odoe",NA,7,"freshwater"
"103",103,103,103,"Heterocharax leptogrammus","Characiformes","Characidae","Heterocharax",0,"absent","",3624837,"","Heterocharax_leptogrammus",NA,7,"freshwater"
"104",104,104,104,"Heterotis niloticus","Osteoglossiformes","Osteoglossidae","Heterotis",0,"absent","y",916703,"","Heterotis_niloticus",NA,9,"freshwater"
"105",105,105,105,"Hypoatherina valenciennei","Atheriniformes","Atherinidae","Hypoatherina",0,"absent","",828581,"","Hypoatherina_valenciennei",NA,37,"saltwater"
"106",106,106,106,"Hyporhamphus sajori","Beloniformes","Hemiramphidae","Hyporhamphus",0,"absent","",496667,"","Hyporhamphus_sajori",NA,62,"saltwater"
"107",107,107,107,"Iguanodectes spilurus","Characiformes","Iguanodectidae","Iguanodectes",0,"absent","",3625587,"","Iguanodectes_spilurus",NA,16,"freshwater"
"108",108,108,108,"Jordanella floridae","Cyprinodontiformes","Cyprinodontidae","Jordanella",0,"absent","",82326,"","Jordanella_floridae",NA,82,"freshwater"
"109",109,109,109,"Luciocephalus pulcher","Anabantiformes","Osphronemidae","Luciocephalus",0,"absent","",377745,"","Luciocephalus_pulcher",NA,32,"freshwater"
"110",110,110,110,"Metynnis hypsauchen","Characiformes","Serrasalmidae","Metynnis",1.5,"present","",506575,"","Metynnis_hypsauchen",NA,26,"freshwater"
"111",111,111,111,"Metynnis lippincottianus","Characiformes","Serrasalmidae","Metynnis",0,"absent","",1095505,"","Metynnis_lippincottianus",NA,26,"freshwater"
"112",112,112,112,"Mikrogeophagus ramirezi","Cichliformes","Cichlidae","Mikrogeophagus",3,"present","",316392,"","Mikrogeophagus_ramirezi",NA,20,"freshwater"
"113",113,113,113,"Misgurnus anguillicaudatus","Cypriniformes","Cobitidae","Misgurnus",0,"absent","y",312382,"","Misgurnus_anguillicaudatus",NA,58,"freshwater"
"114",114,114,114,"Monopterus albus","Synbranchiformes","Synbranchidae","Monopterus",0,"absent","y",655999,"","Monopterus_albus",NA,27,"freshwater"
"115",115,115,115,"Phoxinus oxycephalus jouyi","Cypriniformes","Cyprinidae","Phoxinus",0,"absent","",343644,"infraspecific","Phoxinus_oxycephalus jouyi",NA,NA,NA
"116",116,116,116,"Myleus setiger","Characiformes","Serrasalmidae","Myleus",0,"absent","",985120,"","Myleus_setiger",NA,17,"freshwater"
"117",117,117,117,"Nothobranchius palmqvisti","Cyprinodontiformes","Nothobranchiidae","Nothobranchius",0,"absent","",3641410,"","Nothobranchius_palmqvisti",NA,51,"freshwater"
"118",118,118,118,"Nannostomus beckfordi","Characiformes","Lebiasinidae","Nannostomus",0,"absent","",486012,"","Nannostomus_beckfordi",NA,12,"freshwater"
"119",119,119,119,"Oreochromis niloticus","Cichliformes","Cichlidae","Oreochromis",NA,"present","y",288063,"sibling_higher","Oreochromis_niloticus",NA,8,"freshwater"
"120",120,120,120,"Oryzias latipes","Beloniformes","Adrianichthyidae","Oryzias",0,"absent","y",942673,"","Oryzias_latipes",NA,50,"freshwater"
"121",121,121,121,"Osteoglossum bicirrhosum","Osteoglossiformes","Osteoglossidae","Osteoglossum",0,"absent","y",279997,"","Osteoglossum_bicirrhosum",NA,8,"freshwater"
"122",122,122,122,"Pantodon buchholzi","Osteoglossiformes","Pantodontidae","Pantodon",0,"absent","",108350,"","Pantodon_buchholzi",NA,4,"freshwater"
"123",123,123,123,"Piaractus mesopotamicus","Characiformes","Serrasalmidae","Piaractus",0,"absent","y",24652,"","Piaractus_mesopotamicus",NA,45,"freshwater"
"124",124,124,124,"Prochilodus lineatus","Characiformes","Prochilodontidae","Prochilodus",0,"absent","",1027734,"","Prochilodus_lineatus",NA,43,"freshwater"
"125",125,125,125,"Rhodeus ocellatus","Cypriniformes","Acheilognathidae","Rhodeus",0,"absent","",887027,"","Rhodeus_ocellatus",NA,59,"freshwater"
"126",126,126,126,"Roeboides descalvadensis","Characiformes","Characidae","Roeboides",0,"absent","",1077236,"","Roeboides_descalvadensis",NA,38,"freshwater"
"127",127,127,127,"Roeboides myersii","Characiformes","Characidae","Roeboides",0,"absent","",282557,"","Roeboides_myersii",NA,17,"freshwater"
"128",128,128,128,"Roeboides prognathus","Characiformes","Characidae","Roeboides",0,"absent","",3624826,"","Roeboides_prognathus",NA,44,"freshwater"
"129",129,129,129,"Scleropages jardinii","Osteoglossiformes","Osteoglossidae","Scleropages",0,"absent","",335719,"","Scleropages_jardinii",NA,42,"freshwater"
"130",130,130,130,"Serrapinnus notomelas","Characiformes","Characidae","Serrapinnus",0,"absent","",199867,"","Serrapinnus_notomelas",NA,38,"freshwater"
"131",131,131,131,"Serrasalmus rhombeus","Characiformes","Serrasalmidae","Serrasalmus",0,"absent","",382210,"","Serrasalmus_rhombeus",NA,7,"freshwater"
"132",132,132,132,"Sternopygus macrurus","Gymnotiformes","Sternopygidae","Sternopygus",0,"absent","",729097,"","Sternopygus_macrurus",NA,20,"freshwater"
"133",133,133,133,"Strongylura anastomella","Beloniformes","Belonidae","Strongylura",0,"absent","",703667,"","Strongylura_anastomella",NA,57,"saltwater"
"134",134,134,134,"Teleocichla proselytus","Cichliformes","Cichlidae","Teleocichla",0,"absent","",493822,"","Teleocichla_proselytus",NA,26,"freshwater"
"135",135,135,135,"Marosatherina ladigesi","Atheriniformes","Telmatherinidae","Marosatherina",0,"absent","",296889,"","Marosatherina_ladigesi",NA,42,"freshwater"
"136",136,136,136,"Pseudaspius hakonensis","Cypriniformes","Cyprinidae","Pseudaspius",0,"absent","",372585,"","Pseudaspius_hakonensis",NA,71,"freshwater"
"137",137,137,137,"Triportheus nematurus","Characiformes","Triportheidae","Triportheus",0,"absent","",48234,"","Triportheus_nematurus",NA,38,"freshwater"
"138",138,138,138,"Xenentodon cancila","Beloniformes","Belonidae","Xenentodon",0,"absent","y",549052,"","Xenentodon_cancila",NA,30,"freshwater"
