"Species","data_type","presence"
"Oncorhynchus nerka","sagittal section","absent"
"Rineloricaria heteroptera","ventral","absent"
"Rineloricaria heteroptera","lateral","absent"
"Opsanus beta","cross section","present"
"Opsanus beta","cross section","present"
"Oreochromis niloticus","sagittal section","absent"
"Piaractus brachypomus","ventral","present"
"Dissostichus mawsoni","sagittal section","present"
"Trematomus bernacchii","sagittal section","present"
"Polypterus senegalus","sagittal section","absent"
"Sebastes oblongus","sagittal section","present"
"Sparus aurata","cross section","present"
"Trachurus japonicus","ventral","present"
"Trachurus japonicus","lateral","present"
"Allenbatrachus grunniens","sagittal section","present"
"Xenentodon cancila","ventral","absent"
"Cyprinus carpio","description","present"
"Chelon labrosus","description","present"
"Channa punctata","description","absent"
"Bovichtus diacanthus","description","present"
"Ophthalmolycus amberensis","description","present"
"Cichlasoma dimerus","description","present"
"Pseudopimelodus bufonius","description","present"
"Pseudopimelodus mangurus","description","present"
"Dolloidraco longedorsalis","description","present"
"Bregmaceros japonicus","description","absent"
"Ictalurus punctatus","description","present"
"Haplochromis burtoni","description","present"
"Parupeneus multifasciatus","description","absent"
"Hippocampus guttulatus","description","present"
"Atractosteus tropicus","description","present"
"Monopterus cuchia","description","absent"
"Monopterus cuchia","description","absent"
"Carassius auratus","description","absent"
"Channa punctata","description","absent"
"Clarias batrachus","description","absent"
"Dipnoi","description","absent"
"Dipnoi","description","absent"
"Gymnarchus niloticus","description","absent"
"Phoxinus phoxinus","description","absent"
"Latimeria chalumnae","description","present"
"Latimeria chalumnae","description","present"
"Latimeria chalumnae","description","present"
"Latimeria chalumnae","description","present"
"Echeneis naucrates","description","present"
"Echeneis naucrates","description","present"
"Acipenser baerii","description","present"
"Sander lucioperca","description","present"
"Pseudopleuronectes americanus","description","present"
"Serrasalmus maculatus","description","present"
"Mystus gulio","description","present"
"Ompok bimaculatus","description","present"
"Anguilla anguilla","description","present"
"Carassius auratus","description","absent"
"Carassius auratus","description","absent"
"Carassius auratus","description","absent"
"Dicentrarchus labrax","description","absent"
"Diplomystes mesembrinus","description","absent"
"Gymnarchus niloticus","description","absent"
"Pantodon buchholzi","description","absent"
"Pantodon buchholzi","description","absent"
"Phoxinus phoxinus","description","absent"
"Diplomystes mesembrinus","description","present"
"Eleginops maclovinus","description","present"
"Eleginops maclovinus","description","present"
"Catoprion mento","description","present"
"Catoprion mento","description","present"
"Acipenser baerii","description","present"
"Acnodon normani","description","present"
"Acnodon normani","description","present"
"Akarotaxis nudiceps","description","present"
"Batrochoglanis raninus","description","present"
"Cichlasoma dimerus","description","present"
"Cruciglanis pacifici","description","present"
"Etroplus maculatus","description","present"
"Gymnodraco acuticeps","description","present"
"Lophiosilurus alexandri","description","present"
"Sander lucioperca","description","present"
