"","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity","climate","Spawning","RepGuild1","RepGuild2","AddInfos","FeedingType","diel","diel1","diel2","diel_continuous"
"49","Conger myriaster","Anguilliformes","Congridae","Conger",3,"present",NA,479867,NA,"Conger_myriaster",NA,57,"saltwater","subtropical, temperate",NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",-3
"50","Cottoperca gobio","Perciformes","Bovichtidae","Cottoperca",NA,"present","y",867530,NA,"Cottoperca_gobio",NA,60,"saltwater","subtropical, temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Dasyatis akajei","Myliobatiformes","Dasyatidae","Dasyatis",1,"present",NA,225332,"sibling_higher","Dasyatis_akajei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Epinephelus adscensionis","Perciformes","Serranidae","Epinephelus",NA,"present",NA,534151,NA,"Epinephelus_adscensionis",NA,21,"saltwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"crepuscular/diurnal","diurnal","crepuscular",2
"53","Sander lucioperca","Perciformes","Percidae","Sander",3,"present","y",557682,NA,"Sander_lucioperca",NA,84,"freshwater","temperate","one clear seasonal peak per year","guarders","nesters","The spawning places are over gravel in moving water (Ref. 205).  ""Males are territorial and excavate shallow depressions about 50 cm in diameter and 5-10 cm deep in sand or gravel, or among exposed plant roots on which eggs are deposited, usually in turbid water and at 1-3 m depth.  Spawn in pairs, at dawn or night.  The female remains over the nest while the male circles rapidly around, at about 1 meter from the nest. Then male takes a vertical orientation and both swim around swiftly, and eggs and sperm are released, The female leaves the nest after all eggs are released. The male defends the nest and fans the eggs with his pectorals. Females spawn once a year, laying all the eggs at one time (Ref. 88075). Feeding larvae are positively phototactic and feed on pelagic organisms after they leave the nest for open water"" (Ref. 59043).",NA,"nocturnal","nocturnal","nocturnal",-1
"54","Scophthalmus maximus","Pleuronectiformes","Scophthalmidae","Scophthalmus",2.25,"present","y",778695,NA,"Scophthalmus_maximus",NA,89,"saltwater","subtropical, temperate",NA,"nonguarders","open water/substratum egg scatterers","Spawning usually happens between the months of February and April in the Mediterranean and from May to July in the Atlantic. Sequenced spawning every 2-4 days. Eggs have a single fat drop. Larvae are initially symmetric but, at the end of the metamorphosis (day 40-50, 25 mm), the right eye moves to the left side, losing its initial bilateral symmetry. Egg size 0.9 - 1.2 mm, larval length at hatching 2.7-3.1 mm.",NA,"nocturnal","nocturnal","nocturnal",-5
"55","Pseudopleuronectes americanus","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",1,"present","y",261419,NA,"Pseudopleuronectes_americanus",NA,72,"saltwater","temperate",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"nocturnal","nocturnal","nocturnal",-2
"56","Salminus brasiliensis","Characiformes","Bryconidae","Salminus",NA,"present","y",419009,NA,"Salminus_brasiliensis",NA,27,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers","Pairing is distinct during copulation (Ref. 205).",NA,"crepuscular/nocturnal","nocturnal","crepuscular",-1
"57","Oncorhynchus mykiss irideus","Salmoniformes","Salmonidae","Oncorhynchus",3,"present",NA,578312,"infraspecific","Oncorhynchus_mykiss irideus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Serrasalmus maculatus","Characiformes","Serrasalmidae","Serrasalmus",3,"present",NA,900276,NA,"Serrasalmus_maculatus",NA,37,"freshwater","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Silurus asotus","Siluriformes","Siluridae","Silurus",1,"present","y",967323,NA,"Silurus_asotus",NA,76,"freshwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers","Pairs manifest spawning embrace widely observed in other catfish species (Ref. 37360).
Details of reproductive behaviour from Katano, et al (1988): "" A male first energeticaly pursued a female with its head near to the female's belly (chasing) and then began to cling to the female's body from the side, bending its tail or head (clinging). Finally the male enfolded the female's body, with its anus near to the female's (enfolding). In some cases, 2-4 males pursued a single female and two males enfolded a female at the same time. Although no aggressive behaviour was evident between males, it was always the largest male that could almost frequently approach and enfold the female. The mating pair moved a long distance in a ditch, paddy field and/or creek, performing reproductive activities.""
The scattering of eggs may reduce the incidence of death of the young.",NA,"nocturnal","nocturnal","nocturnal",-5
"60","Sphoeroides rubripes","Tetraodontiformes","Tetraodontidae","Sphoeroides",NA,"present",NA,3631199,NA,"Sphoeroides_rubripes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Enoplosus armatus","Centrarchiformes","Enoplosidae","Enoplosus",NA,"present","y",54499,NA,"Enoplosus_armatus",NA,NA,"saltwater","subtropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,"unclear","unclear/crepuscular","unclear",NA
"62","Mystus bleekeri","Siluriformes","Bagridae","Mystus",NA,"present",NA,484171,NA,"Mystus_bleekeri",NA,23,"freshwater","subtropical, tropical",NA,NA,NA,NA,NA,"crepuscular/nocturnal","nocturnal","crepuscular",-3
