"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude"
"399",399,"Thamnaconus modestus","Tetraodontiformes","Monacanthidae","Thamnaconus",3,"present","",793159,"","Thamnaconus_modestus",NA,31
"400",400,"Toxotes jaculatrix","Acanthomorphata","Toxotidae","Toxotes",3,"present","y",712588,"incertae_sedis_inherited","Toxotes_jaculatrix",NA,13
"401",401,"Toxotes chatareus","Acanthomorphata","Toxotidae","Toxotes",3,"present","y",367548,"incertae_sedis_inherited","Toxotes_chatareus",NA,13
"402",402,"Trachurus japonicus","Carangiformes","Carangidae","Trachurus",3,"present","y",43502,"","Trachurus_japonicus",NA,25
"403",403,"Trichiurus lepturus","Scombriformes","Trichiuridae","Trichiurus",3,"present","",143398,"extinct","Trichiurus_lepturus",NA,18
"404",404,"Trichogaster fasciata","Anabantiformes","Osphronemidae","Trichogaster",3,"present","",1089987,"","Trichogaster_fasciata",NA,28
"405",405,"Trichopodus leerii","Anabantiformes","Osphronemidae","Trichopodus",3,"present","",785740,"","Trichopodus_leerii",NA,26.5
"406",406,"Trogloglanis pattersoni","Siluriformes","Ictaluridae","Trogloglanis",3,"present","y",3624008,"","Trogloglanis_pattersoni",NA,48
"407",407,"Utiaritichthys sennaebragai","Characiformes","Serrasalmidae","Utiaritichthys",3,"present","",3625952,"","Utiaritichthys_sennaebragai",NA,12.5
"408",408,"Xenomystus nigri","Osteoglossiformes","Notopteridae","Xenomystus",3,"present","",863129,"","Xenomystus_nigri",NA,4.5
"409",409,"Zanclus cornutus","Acanthuriformes","Zanclidae","Zanclus",3,"present","y",199070,"","Zanclus_cornutus",NA,14
"410",410,"Zebrasoma velifer","Acanthuriformes","Acanthuridae","Zebrasoma",3,"present","",3638940,"","Zebrasoma_velifer",NA,14
"411",411,"Zeus faber","Zeiformes","Zeidae","Zeus",3,"present","y",918920,"","Zeus_faber",NA,34
"412",412,"Platichthys flesus","Pleuronectiformes","Pleuronectidae","Platichthys",3,"present","y",408331,"","Platichthys_flesus",NA,50.5
"413",413,"Agoniates halecinus","Characiformes","Characidae","Agoniates",3.5,"present","",673669,"","Agoniates_halecinus",NA,10
"414",414,"Astyanax altiparanae","Characiformes","Characidae","Astyanax",3.5,"present","",466082,"","Astyanax_altiparanae",NA,26
"415",415,"Chalceus erythrurus","Characiformes","Chalceidae","Chalceus",3.5,"present","",990648,"","Chalceus_erythrurus",NA,17.5
"416",416,"Chionodraco hamatus","Perciformes","Channichthyidae","Chionodraco",3.5,"present","y",185365,"","Chionodraco_hamatus",NA,68
"417",417,"Cynodon gibbus","Characiformes","Characidae","Cynodon",3.5,"present","",545269,"","Cynodon_gibbus",NA,13
"418",418,"Dissostichus mawsoni","Perciformes","Nototheniidae","Dissostichus",3.5,"present","y",504786,"","Dissostichus_mawsoni",NA,68
"419",419,"Dolloidraco longedorsalis","Perciformes","Artedidraconidae","Dolloidraco",3.5,"present","y",268810,"","Dolloidraco_longedorsalis",NA,68
"420",420,"Hoplerythrinus unitaeniatus","Characiformes","Erythrinidae","Hoplerythrinus",3.5,"present","",719840,"","Hoplerythrinus_unitaeniatus",NA,14
"421",421,"Larimichthys crocea","Perciformes","Sciaenidae","Larimichthys",3.5,"present","y",679823,"","Larimichthys_crocea",NA,32.5
"422",422,"Lepisosteus osseus","Semionotiformes","Lepisosteidae","Lepisosteus",3.5,"present","y",519445,"","Lepisosteus_osseus",NA,39
"423",423,"Myloplus rubripinnis","Characiformes","Serrasalmidae","Myloplus",3.5,"present","",753357,"","Myloplus_rubripinnis",NA,13
"424",424,"Notothenia coriiceps","Perciformes","Nototheniidae","Notothenia",3.5,"present","y",258643,"","Notothenia_coriiceps",NA,68
"425",425,"Paraliparis devriesi","Perciformes","Liparidae","Paraliparis",3.5,"present","",3631818,"","Paraliparis_devriesi",NA,73
"426",426,"Pimelodus maculatus","Siluriformes","Pimelodidae","Pimelodus",3.5,"present","y",386663,"","Pimelodus_maculatus",NA,27
"427",427,"Rhoadsia altipinna","Characiformes","Characidae","Rhoadsia",3.5,"present","",3625978,"","Rhoadsia_altipinna",NA,37.5
"428",428,"Salminus hilarii","Characiformes","Bryconidae","Salminus",3.5,"present","",180301,"","Salminus_hilarii",NA,17.5
"429",429,"Satan eurystomus","Siluriformes","Ictaluridae","Satan",3.5,"present","",3624005,"","Satan_eurystomus",NA,48
"430",430,"Schizodon nasutus","Characiformes","Anostomidae","Schizodon",3.5,"present","",469757,"","Schizodon_nasutus",NA,27
"431",431,"Scorpaena porcus","Perciformes","Scorpaenidae","Scorpaena",3.5,"present","",223715,"","Scorpaena_porcus",NA,38.5
"432",432,"Tetragonopterus argenteus","Characiformes","Characidae","Tetragonopterus",3.5,"present","",282555,"","Tetragonopterus_argenteus",NA,15
"433",433,"Trematomus bernacchii","Perciformes","Nototheniidae","Trematomus",3.5,"present","y",985361,"","Trematomus_bernacchii",NA,68
"434",434,"Trematomus lepidorhinus","Perciformes","Nototheniidae","Trematomus",3.5,"present","",985371,"","Trematomus_lepidorhinus",NA,66
"435",435,"Trematomus loennbergii","Perciformes","Nototheniidae","Trematomus",3.5,"present","y",985377,"","Trematomus_loennbergii",NA,68
"436",436,"Amblyopsis spelaea","Percopsiformes","Amblyopsidae","Amblyopsis",1,"present","y",223533,"","Amblyopsis_spelaea",NA,48
"437",437,"Boleophthalmus pectinirostris","Gobiiformes","Gobiidae","Boleophthalmus",3,"present","y",47553,"","Boleophthalmus_pectinirostris",NA,32
"438",438,"Etroplus suratensis","Cichliformes","Cichlidae","Etroplus",1,"present","y",640316,"","Etroplus_suratensis",NA,17
"439",439,"Gadus morhua (species in domain Eukaryota)","Gadiformes","Gadidae","Gadus",0,"absent","y",114170,"","Gadus_morhua (species in domain Eukaryota)",NA,NA
"440",440,"Astronotus ocellatus","Cichliformes","Cichlidae","Astronotus",3,"present","",952936,"","Astronotus_ocellatus",NA,17.5
"441",441,"Andinoacara latifrons","Cichliformes","Cichlidae","Andinoacara",3,"present","",334264,"","Andinoacara_latifrons",NA,15.5
"442",442,"Rocio octofasciata","Cichliformes","Cichlidae","Rocio",3,"present","",570005,"","Rocio_octofasciata",NA,26.5
"443",443,"Heros severus","Cichliformes","Cichlidae","Heros",3,"present","",547065,"","Heros_severus",NA,7
"444",444,"Haplochromis sp.","Cichliformes","Cichlidae","Haplochromis",0,"absent","",737833,"not_otu, incertae_sedis","Haplochromis_sp.",NA,NA
"445",445,"Pelvicachromis taeniatus","Cichliformes","Cichlidae","Pelvicachromis",0,"absent","y",66663,"","Pelvicachromis_taeniatus",NA,8
"446",446,"Steatocranus casuarius","Cichliformes","Cichlidae","Steatocranus",0,"absent","",911145,"","Steatocranus_casuarius",NA,9
"447",447,"Melanochromis auratus","Cichliformes","Cichlidae","Melanochromis",0,"absent","y",855526,"","Melanochromis_auratus",NA,21
"448",448,"Oreochromis esculentus","Cichliformes","Cichlidae","Oreochromis",0,"absent","",406449,"sibling_higher","Oreochromis_esculentus",NA,5.5
"449",449,"Coptodon zillii","Cichliformes","Cichlidae","Coptodon",0,"absent","",862692,"","Coptodon_zillii",NA,8
"450",450,"Oreochromis spilurus","Cichliformes","Cichlidae","Oreochromis",0,"absent","y",5558327,"sibling_higher","Oreochromis_spilurus",NA,5.5
"451",451,"Tilapia sparrmanii","Cichliformes","Cichlidae","Tilapia",0,"absent","y",911151,"","Tilapia_sparrmanii",NA,13
"452",452,"Oreochromis variabilis","Cichliformes","Cichlidae","Oreochromis",0,"absent","",688559,"sibling_higher","Oreochromis_variabilis",NA,14.5
"453",453,"Tor putitora","Cypriniformes","Cyprinidae","Tor",NA,"present","",720179,"","Tor_putitora",NA,29
"454",454,"Gadella jordani","Gadiformes","Moridae","Gadella",3,"present","",89173,"","Gadella_jordani",NA,32.5
"455",455,"Gadus chalcogrammus","Gadiformes","Gadidae","Gadus",3,"present","y",1056842,"","Gadus_chalcogrammus",NA,53.5
"456",456,"Bregmaceros japonicus","Gadiformes","Bregmacerotidae","Bregmaceros",0,"absent","",3630525,"","Bregmaceros_japonicus",NA,28
"457",457,"Coelorinchus smithi","Gadiformes","Macrouridae","Coelorinchus",3,"present","",759483,"","Coelorinchus_smithi",NA,50
"458",458,"Opsanus beta","Batrachoidiformes","Batrachoididae","Opsanus",1,"present","y",478186,"","Opsanus_beta",NA,25
"459",459,"Delturus carinotus","Siluriformes","Loricariidae","Delturus",3,"present","",440099,"","Delturus_carinotus",NA,37.5
"460",460,"Pimelodus argenteus","Siluriformes","Pimelodidae","Pimelodus",3,"present","",987382,"","Pimelodus_argenteus",NA,27.5
"461",461,"Myoxocephalus scorpius","Perciformes","Cottidae","Myoxocephalus",3.5,"present","y",942655,"","Myoxocephalus_scorpius",NA,63.5
"462",462,"Zoarces viviparus","Perciformes","Zoarcidae","Zoarces",3.5,"present","y",752564,"","Zoarces_viviparus",NA,62
"463",463,"Callionymus lyra","Syngnathiformes","Callionymidae","Callionymus",3,"present","",795408,"","Callionymus_lyra",NA,46.5
"464",464,"Gobius niger","Gobiiformes","Gobiidae","Gobius",3,"present","y",1054967,"","Gobius_niger",NA,44.5
"465",465,"Symphodus melops","Labriformes","Labridae","Symphodus",4,"present","y",553191,"sibling_higher","Symphodus_melops",NA,46.5
"466",466,"Labrus bergylta","Labriformes","Labridae","Labrus",NA,"present","y",292710,"","Labrus_bergylta",NA,44.5
"467",467,"Liparis liparis","Perciformes","Liparidae","Liparis",3,"present","",566839,"","Liparis_liparis",NA,62
"468",468,"Pollachius virens","Gadiformes","Gadidae","Pollachius",4,"present","y",62649,"","Pollachius_virens",NA,62
"469",469,"Raniceps raninus","Gadiformes","Gadidae","Raniceps",1,"present","",659845,"","Raniceps_raninus",NA,61
"470",470,"Hippoglossus hippoglossus","Pleuronectiformes","Pleuronectidae","Hippoglossus",3.75,"present","y",408328,"","Hippoglossus_hippoglossus",NA,61
"471",471,"Merlangius merlangus","Gadiformes","Gadidae","Merlangius",3,"present","y",635911,"","Merlangius_merlangus",NA,60
"472",472,"Iniistius pavo","Labriformes","Labridae","Iniistius",NA,"present","",839457,"","Iniistius_pavo",NA,22
"473",473,"Raja asterias","Rajiformes","Rajidae","Raja",NA,"present","",884658,"","Raja_asterias",NA,42.5
"474",474,"Cobitis taenia","Cypriniformes","Cobitidae","Cobitis",0,"absent","",14761,"","Cobitis_taenia",NA,50.5
"475",475,"Lepadogaster lepadogaster","Blenniiformes","Gobiesocidae","Lepadogaster",0,"absent","",719435,"","Lepadogaster_lepadogaster",NA,41.5
"476",476,"Sinibotia reevesae","Cypriniformes","Botiidae","Sinibotia",1,"present","",3627672,"","Sinibotia_reevesae",NA,45
"477",477,"Silurus glanis","Siluriformes","Siluridae","Silurus",NA,"present","y",272344,"","Silurus_glanis",NA,50
"478",478,"Myxine glutinosa","Myxiniformes","Myxinidae","Myxine",0,"absent","",852683,"","Myxine_glutinosa",NA,60
"479",479,"Haplochromis burtoni","Cichliformes","Cichlidae","Haplochromis",NA,"present","y",710025,"sibling_higher","Haplochromis_burtoni",NA,NA
"480",480,"Scyliorhinus torazame","Carcharhiniformes","Scyliorhinidae","Scyliorhinus",3.5,"present","",266108,"","Scyliorhinus_torazame",NA,28
"481",481,"Oncorhynchus masou ishikawae","Salmoniformes","Salmonidae","Oncorhynchus",2,"present","y",982414,"infraspecific","Oncorhynchus_masou ishikawae",NA,NA
"482",482,"Hypomesus japonicus","Osmeriformes","Osmeridae","Hypomesus",3,"present","",664219,"","Hypomesus_japonicus",NA,54
"483",483,"Hexagrammos octogrammus","Perciformes","Hexagrammidae","Hexagrammos",3,"present","",185862,"","Hexagrammos_octogrammus",NA,48
"484",484,"Pungitius pungitius pungitius","Perciformes","Gasterosteidae","Pungitius",1,"present","",561267,"infraspecific","Pungitius_pungitius pungitius",NA,NA
"485",485,"Parupeneus multifasciatus","Syngnathiformes","Mullidae","Parupeneus",0,"absent","",295485,"","Parupeneus_multifasciatus",NA,13
"486",486,"Hippocampus barbouri","Syngnathiformes","Syngnathidae","Hippocampus",1,"present","y",279994,"","Hippocampus_barbouri",NA,17.5
"487",487,"Huso huso","Acipenseriformes","Acipenseridae","Huso",NA,"present","y",751886,"","Huso_huso",NA,46
"488",488,"Thunnus thynnus","Scombriformes","Scombridae","Thunnus",0,"absent","y",833184,"","Thunnus_thynnus",NA,42
"489",489,"Labeo rohita","Cypriniformes","Cyprinidae","Labeo",NA,"present","y",160616,"sibling_higher","Labeo_rohita",NA,19.5
"490",490,"Lates calcarifer","Acanthomorphata","Centropomidae","Lates",NA,"present","y",437601,"incertae_sedis_inherited","Lates_calcarifer",NA,13
"491",491,"Channa argus","Anabantiformes","Channidae","Channa",NA,"present","y",229205,"","Channa_argus",NA,38
"492",492,"Sparus aurata","Spariformes","Sparidae","Sparus",NA,"present","y",760723,"","Sparus_aurata",NA,42.5
"493",493,"Lateolabrax maculatus","Pempheriformes","Lateolabracidae","Lateolabrax",NA,"present","y",331155,"","Lateolabrax_maculatus",NA,NA
"494",494,"Oncorhynchus nerka","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","y",165375,"","Oncorhynchus_nerka",NA,50.5
"495",495,"Oncorhynchus gorbuscha","Salmoniformes","Salmonidae","Oncorhynchus",1,"present","y",739927,"","Oncorhynchus_gorbuscha",NA,58.5
"496",496,"Oncorhynchus keta","Salmoniformes","Salmonidae","Oncorhynchus",1,"present","y",739921,"","Oncorhynchus_keta",NA,55.5
"497",497,"Salvelinus leucomaenis pluvius","Salmoniformes","Salmonidae","Salvelinus",3,"present","",688314,"infraspecific","Salvelinus_leucomaenis pluvius",NA,NA
"498",498,"Atractosteus tropicus","Semionotiformes","Lepisosteidae","Atractosteus",1,"present","",124014,"","Atractosteus_tropicus",NA,37.5
"499",499,"Eptatretus atami","Myxiniformes","Myxinidae","Eptatretus",0,"absent","",995305,"","Eptatretus_atami",NA,56
"500",500,"Macropodus opercularis","Anabantiformes","Osphronemidae","Macropodus",0,"absent","y",1033367,"","Macropodus_opercularis",NA,32.5
"501",501,"Gymnotus carapo","Gymnotiformes","Gymnotidae","Gymnotus",NA,"present","",445408,"","Gymnotus_carapo",NA,26
"502",502,"Parablennius incognitus","Blenniiformes","Blenniidae","Parablennius",NA,"present","",586329,"","Parablennius_incognitus",NA,41
"503",503,"Totoaba macdonaldi","Perciformes","Sciaenidae","Totoaba",3,"present","",750990,"","Totoaba_macdonaldi",NA,49
"504",504,"Ameiurus nebulosus","Siluriformes","Ictaluridae","Ameiurus",3,"present","",804481,"","Ameiurus_nebulosus",NA,48.5
"505",505,"Myxocyprinus asiaticus","Cypriniformes","Catostomidae","Myxocyprinus",NA,"present","y",141409,"","Myxocyprinus_asiaticus",NA,45
"506",506,"Oncorhynchus kisutch","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","y",739917,"","Oncorhynchus_kisutch",NA,50
"507",507,"Ophiodon elongatus","Perciformes","Hexagrammidae","Ophiodon",3,"present","y",849032,"","Ophiodon_elongatus",NA,49
"508",508,"Rineloricaria heteroptera","Siluriformes","Loricariidae","Rineloricaria",0,"absent","",3622766,"","Rineloricaria_heteroptera",NA,17.5
"509",509,"Opsanus tau","Batrachoidiformes","Batrachoididae","Opsanus",3.5,"present","",62631,"","Opsanus_tau",NA,41
"510",510,"Periophthalmus modestus","Gobiiformes","Gobiidae","Periophthalmus",0,"absent","y",736100,"","Periophthalmus_modestus",NA,25
"511",511,"Odontobutis sinensis","Gobiiformes","Odontobutidae","Odontobutis",0,"absent","",755258,"","Odontobutis_sinensis",NA,45
"512",512,"Polypterus senegalus","Polypteriformes","Polypteridae","Polypterus",NA,"present","y",1064124,"","Polypterus_senegalus",NA,10
"513",513,"Salmo trutta fario","Salmoniformes","Salmonidae","Salmo",3.5,"present","",883834,"infraspecific","Salmo_trutta fario",NA,NA
"514",514,"Salmo trutta","Salmoniformes","Salmonidae","Salmo",NA,"present","y",688332,"","Salmo_trutta",NA,47
"515",515,"Salvelinus alpinus","Salmoniformes","Salmonidae","Salvelinus",NA,"present","y",688324,"","Salvelinus_alpinus",NA,63.5
"516",516,"Sander vitreus","Perciformes","Percidae","Sander",0,"absent","y",557687,"","Sander_vitreus",NA,48.5
"517",517,"Sebastes oblongus","Perciformes","Sebastidae","Sebastes",3.5,"present","y",778325,"sibling_higher","Sebastes_oblongus",NA,56
"518",518,"Chimaera phantasma","Chimaeriformes","Chimaeridae","Chimaera",NA,"present","",194652,"","Chimaera_phantasma",NA,28
"519",519,"Mustelus manazo","Carcharhiniformes","Triakidae","Mustelus",NA,"present","",573813,"","Mustelus_manazo",NA,31
"520",520,"Etmopterus brachyurus","Squaliformes","Etmopteridae","Etmopterus",NA,"present","",624099,"","Etmopterus_brachyurus",NA,32
"521",521,"Centroscymnus coelolepis","Squaliformes","Somniosidae","Centroscymnus",NA,"present","",304656,"","Centroscymnus_coelolepis",NA,45
"522",522,"Centroscymnus owstoni","Squaliformes","Somniosidae","Centroscymnus",NA,"present","",745562,"","Centroscymnus_owstoni",NA,NA
"523",523,"Deania hystricosa","Squaliformes","Centrophoridae","Deania",NA,"present","",832506,"","Deania_hystricosa",NA,68
"524",524,"Centrophorus squamosus","Squaliformes","Centrophoridae","Centrophorus",NA,"present","",449785,"","Centrophorus_squamosus",NA,39
"525",525,"Okamejei kenojei","Rajiformes","Rajidae","Okamejei",NA,"present","",167107,"","Okamejei_kenojei",NA,34
"526",526,"Aluterus scriptus","Tetraodontiformes","Monacanthidae","Aluterus",NA,"present","",959206,"","Aluterus_scriptus",NA,18.5
"527",527,"Xiphophorus maculatus","Cyprinodontiformes","Poeciliidae","Xiphophorus",0,"absent","y",416852,"","Xiphophorus_maculatus",NA,30
"528",528,"Corydoras acutus","Siluriformes","Callichthyidae","Corydoras",0,"absent","",360624,"","Corydoras_acutus",NA,17.5
"529",529,"Trichogenes longipinnis","Siluriformes","Trichomycteridae","Trichogenes",0,"absent","",817998,"","Trichogenes_longipinnis",NA,37.5
"530",530,"Anabas testudineus","Anabantiformes","Anabantidae","Anabas",NA,"present","y",896431,"","Anabas_testudineus",NA,13
"531",531,"Latimeria chalumnae","Coelacanthiformes","Latimeriidae","Latimeria",0.5,"present","",773491,"","Latimeria_chalumnae",NA,32
"532",532,"Austrolebias charrua","Cyprinodontiformes","Rivulidae","Austrolebias",0,"absent","y",688711,"","Austrolebias_charrua",NA,31
"533",533,"Aethotaxis mitopteryx","Perciformes/Notothenioidei","Nototheniidae","Aethotaxis",1,"present","",303038,"extinct_inherited, incertae_sedis","Aethotaxis_mitopteryx",NA,68
"534",534,"Distichodus affinis","Characiformes","Distichodontidae","Distichodus",1,"present","",912276,"","Distichodus_affinis",NA,4
"535",535,"Percalates colonorum","Centrarchiformes","Percalatidae","Percalates",1,"present","y",538644,"","Percalates_colonorum",NA,26
"536",536,"Austrolebias affinis","Cyprinodontiformes","Rivulidae","Austrolebias",3,"present","",1018474,"","Austrolebias_affinis",NA,23
"537",537,"Hydrolagus colliei","Chimaeriformes","Chimaeridae","Hydrolagus",3,"present","",29493,"extinct_inherited, incertae_sedis","Hydrolagus_colliei",NA,48
"538",538,"Kryptolebias marmoratus","Cyprinodontiformes","Rivulidae","Kryptolebias",0,"absent","y",229709,"","Kryptolebias_marmoratus",NA,19
