"","Species","order"
"264","Paralichthys olivaceus","Pleuronectiformes"
"265","Paraliparis devriesi","Perciformes"
"266","Paranotothenia magellanica","Perciformes"
"267","Parapercis sexfasciata","Uranoscopiformes"
"268","Paraplagusia japonica","Pleuronectiformes"
"269","Parapristipoma trilineatum","Lutjaniformes"
"270","Parupeneus barberinoides","Syngnathiformes"
"271","Patagonotothen ramsayi","Perciformes"
"272","Perca fluviatilis","Perciformes"
"273","Percalates colonorum","Centrarchiformes"
"274","Periophthalmus nov",NA
"275","Phenacogrammus interruptus","Characiformes"
"276","Pholis nebulosa","Perciformes"
"277","Phoxinus oxycephalus jouyi","Cypriniformes"
"278","Phoxinus phoxinus","Cypriniformes"
"279","Piaractus mesopotamicus","Characiformes"
"280","Pimelodus maculatus","Siluriformes"
"281","Pimelodus pictus","Siluriformes"
"282","Planiliza haematocheilus","Mugiliformes"
"283","Platycephalus indicus","Perciformes"
"284","Plecoglossus altivelis","Osmeriformes"
"285","Pleuragramma antarctica","Perciformes"
"286","Pleuronichthys cornutus","Pleuronectiformes"
"287","Plotosus lineatus","Siluriformes"
"288","Poecilia latipinna","Cyprinodontiformes"
"289","Poecilia reticulata","Cyprinodontiformes"
"290","Pogonophryne scotti","Perciformes"
"291","Polypterus bichir","Polypteriformes"
"292","Porichthys notatus","Batrachoidiformes"
"293","Probolodus heterostomus","Characiformes"
"294","Prochilodus lineatus","Characiformes"
"295","Psenopsis anomala","Scombriformes"
"296","Pseudanthias squamipinnis","Perciformes"
"297","Pseudaphritis urvillii","Perciformes"
"298","Pseudaspius hakonensis","Cypriniformes"
"299","Pseudoblennius percoides","Perciformes"
"300","Pseudogobio esocinus","Cypriniformes"
"301","Pseudolabrus japonicus","Labriformes"
"302","Pseudomystus siamensis","Siluriformes"
"303","Pseudopimelodus bufonius","Siluriformes"
"304","Pseudopimelodus mangurus","Siluriformes"
"305","Pseudopleuronectes yokohamae","Pleuronectiformes"
"306","Pseudorasbora parva","Cypriniformes"
"307","Pteragogus flagellifer","Labriformes"
"308","Pterogobius elapoides","Gobiiformes"
"309","Pterogobius virgo","Gobiiformes"
"310","Pterophyllum scalare","Cichliformes"
"311","Pungtungia herzi","Cypriniformes"
"312","Pygocentrus nattereri","Characiformes"
"313","Pygocentrus piraya","Characiformes"
"314","Pyrrhulina australis","Characiformes"
"315","Racovitzia glacialis","Perciformes"
"316","Rastrelliger brachysoma","Scombriformes"
"317","Repomucenus richardsonii","Syngnathiformes"
"318","Rhinogobius brunneus","Gobiiformes"
"319","Rhinogobius flumineus","Gobiiformes"
"320","Rhoadsia altipinna","Characiformes"
"321","Rhodeus ocellatus","Cypriniformes"
"322","Rhyacichthys aspro","Gobiiformes"
"323","Roeboides descalvadensis","Characiformes"
"324","Roeboides myersii","Characiformes"
"325","Roeboides prognathus","Characiformes"
"326","Rutilus rutilus","Cypriniformes"
"327","Salangichthys microdon","Osmeriformes"
"328","Salminus hilarii","Characiformes"
"329","Salmo salar","Salmoniformes"
"330","Salvelinus fontinalis","Salmoniformes"
"331","Salvelinus leucomaenis","Salmoniformes"
"332","Sander lucioperca","Perciformes"
"333","Sander lucioperca","Perciformes"
"334","Sarcocheilichthys variegatus","Cypriniformes"
"335","Sardinella zunasi","Clupeiformes"
"336","Sardinops melanostictus","Clupeiformes"
"337","Sargocentron sp.","Holocentriformes"
"338","Satan eurystomus","Siluriformes"
"339","Saurida undosquamis","Aulopiformes"
"340","Scatophagus argus","Acanthuriformes"
"341","Schizodon nasutus","Characiformes"
"342","Scleropages jardinii","Osteoglossiformes"
"343","Scomber japonicus","Scombriformes"
"344","Scorpaena porcus","Perciformes"
"345","Scyliorhinus canicula","Carcharhiniformes"
"346","Sebastes hubbsi","Perciformes"
